id,comp_bx,comp_by,comp_bz,comp_bt,lon_gsm,lat_gsm,density,speed,temperature
"{'date': '2019-11-05', 'time': '00:00:00'}",1.28,2.73,-1.83,3.53,64.95,-31.36,6.18,390.2,71640.0
"{'date': '2019-11-05', 'time': '00:01:00'}",1.08,2.77,-1.96,3.56,68.67,-33.5,3.67,372.0,31840.0
"{'date': '2019-11-05', 'time': '00:02:00'}",1.03,2.78,-1.91,3.52,69.65,-32.74,6.87,394.1,94546.0
"{'date': '2019-11-05', 'time': '00:03:00'}",0.99,2.91,-1.87,3.59,71.13,-31.31,6.06,384.4,63146.0
"{'date': '2019-11-05', 'time': '00:04:00'}",1.2,2.72,-2.04,3.6,66.24,-34.5,5.32,370.9,27611.0
"{'date': '2019-11-05', 'time': '00:05:00'}",1.47,2.53,-2.15,3.63,59.86,-36.35,5.72,378.2,44576.0
"{'date': '2019-11-05', 'time': '00:06:00'}",0.83,2.86,-2.13,3.67,73.89,-35.6,6.59,387.0,72799.0
"{'date': '2019-11-05', 'time': '00:07:00'}",1.72,2.25,-1.98,3.46,52.54,-34.92,5.2,378.6,48860.0
"{'date': '2019-11-05', 'time': '00:08:00'}",2.34,1.65,-1.71,3.33,35.17,-30.82,5.22,385.9,66223.0
"{'date': '2019-11-05', 'time': '00:09:00'}",2.56,1.26,-1.57,3.26,26.12,-28.86,6.41,397.1,94610.0
"{'date': '2019-11-05', 'time': '00:10:00'}",2.45,1.24,-1.78,3.27,26.96,-32.88,6.0,381.9,51236.0
"{'date': '2019-11-05', 'time': '00:11:00'}",0.54,2.01,-2.04,2.91,74.83,-44.43,6.24,369.1,22554.0
"{'date': '2019-11-05', 'time': '00:12:00'}",-0.2,2.29,-1.58,2.79,94.92,-34.55,7.04,388.2,103516.0
"{'date': '2019-11-05', 'time': '00:13:00'}",0.0,2.3,-2.25,3.21,89.95,-44.42,6.84,386.5,97523.0
"{'date': '2019-11-05', 'time': '00:14:00'}",0.22,2.69,-2.41,3.62,85.31,-41.69,5.76,377.6,65612.0
"{'date': '2019-11-05', 'time': '00:15:00'}",0.17,2.88,-2.21,3.63,86.57,-37.53,6.43,383.1,88081.0
"{'date': '2019-11-05', 'time': '00:16:00'}",0.15,2.63,-1.99,3.3,86.69,-37.09,6.76,383.4,85943.0
